snapshot_utc,fetched_utc,station_id,legacy_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,6eaa7343-402d-41c9-9aac-8c664fdbdcf1,6eaa7343-402d-41c9-9aac-8c664fdbdcf1,0,0,0,0,0,0,0,0,86400
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2261583246847893606,2261583246847893606,16,1,1,2,0,1,1,1,1790308643
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,768433a9-fc30-4485-b136-22d6f8a96f1c,768433a9-fc30-4485-b136-22d6f8a96f1c,5,1,0,6,0,1,1,1,1790308659
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2113559364250874028,2113559364250874028,8,2,0,7,0,1,1,1,1790308659
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,1ef5abb2-5af9-41f2-a0dd-1e44278ad9f1,502,3,2,0,8,0,1,1,1,1790308691
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,f8351f87-0de8-11e7-991c-3863bb43a7d0,192,0,0,1,18,0,1,1,1,1790308691
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2227859082657747444,2227859082657747444,1,0,0,6,0,1,1,1,1790308690
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2127634714741013228,2127634714741013228,17,1,0,7,0,1,1,1,1790308688
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2126567695528519906,2126567695528519906,7,0,0,13,0,1,1,1,1790308689
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,803a0c16-4f81-44f1-8b49-a13fcdda40c1,370,9,2,0,9,0,1,1,1,1790308689
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,f834a2a8-0de8-11e7-991c-3863bb43a7d0,85,8,0,0,11,0,1,1,1,1790308690
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,4d953f0f-13b5-4b3d-b2da-342003ff7cba,4d953f0f-13b5-4b3d-b2da-342003ff7cba,7,3,0,4,0,1,1,1,1790308690
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,199f3d59-e726-4549-b9c1-4dfc8a343fdb,508,8,2,0,3,0,1,1,1,1790308694
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2027855476515070160,2027855476515070160,3,0,0,24,0,1,1,1,1790308697
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,eed9e64f-f09d-43c1-aa31-da968c66750a,368,14,4,1,0,0,1,1,1,1790308698
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2438d052-2cd6-4fba-83c9-39f46cb59398,2438d052-2cd6-4fba-83c9-39f46cb59398,3,2,0,16,0,1,1,1,1790308696
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,f8346e51-0de8-11e7-991c-3863bb43a7d0,17,9,1,0,6,0,1,1,1,1790308698
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,d1a5e406-718c-44b9-b9dd-e63605b888aa,555,10,9,0,4,0,1,1,1,1790308703
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,f83493c0-0de8-11e7-991c-3863bb43a7d0,67,0,0,2,22,0,1,1,1,1790308700
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2129149628430547474,2129149628430547474,6,0,0,10,0,1,1,1,1790308702
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,2031175112202687108,2031175112202687108,7,0,0,9,0,1,1,1,1790308663
2026-09-25T03:59:56+00:00,2026-09-25T04:00:10.268728+00:00,87b5a8b7-a330-4c51-ab32-7dafa292c88f,421,13,0,0,6,0,1,1,1,1790308663
